MARCA,CATEGORÍA,SUBCATEGORIA,PRODUCTO,TXT PRINCIPAL,PDF,2 FOTOS EN USO,PNG TRANSPARENTE,TXT descriptivo ,,TEXTO ARGUMENTOS DE VALOR,CARACTERISTICAS,Palabras clave,Trabajos Ideales,GRUPO,OBSERVACIONES imagenes,IMAGEN secundaria
,,RODILLOS TÁNDEM,HD 12 VV,SI ,SI ,SI ,SI ,,HD 12 VV,"Los rodillos compactos HD 12 VV de la familia CompactLine son auténticos multitalentos para la construcción de asfalto, movimiento de tierras y jardinería y paisajismo. Compactar la grava, gravilla o arena con la misma calidad que las calzadas hechas con asfaltos estándar y especiales.
Con su diseño tan compacto, trabajan de forma muy eficiente en espacios reducidos como, por ejemplo, el centro de la ciudad o caminos estrechos. Su baja altura también permite compactar en naves, en aparcamientos y en cualquier lugar con limitación de altura del techo.
","Peso 2.695 kg
Anchura de cilindro 1.200 mm
Categoria normativa de emisiones UE Fase IIIA",,,,✓,
,,RODILLOS TÁNDEM,HD+90 VV,SI,SI,SI,SI,,HD+90 VV,"El rodillo Hamm HD + 90 destaca por ser el más versátil en el mercado gracias a su tecnología, fácil manejo y su sistema único de vibración / oscilación que permite compactar las capas más exigentes proporcionando mayor amplitud y área de compactación en cada pasada.","
Peso 9.655 kg
Anchura de cilindro        1.680 mm
Categoría normativa de emisiones UE Fase IIIA/EPA Tier 3",,,,✓,
,,RODILLOS NEUMÁTICO,HP 280,SI ,SI ,SI ,SI ,,HP 280,"HAMM HP 280 Realiza su trabajo de manera fiable y segura también en obras de gran tamaño. El abanico de usos posible abarca desde la estabilización de suelos y el reciclado en frío hasta la compactación final y el sellado de superficies en la construcción en asfalto, pasando por la jardinería y el paisajismo.","Peso 9.480 kg
Anchura sobre neumático 1.830 mm
Categoría normativa de emisiones UE Fase IIIA/EPA Tier 3",,,,✓,
,,,,,,,,,,,,,,,,
CIBER,PLANTAS DE ASFALTO,PLANTAS DE ASFALTO MÓVILES,iNOVA 1500 C,SI,SI,SI,SI,,iNOVA 1500 C,"Tecnología moderna para la producción de mezclas de asfalto con una capacidad de producción de 150 t/h para la que es suficiente solamente un vehículo de transporte. El sistema tiene cuatro silos de dosificación con pesaje individual, quemador Open Fire y un innovador sistema de intercambio de calor inteligente que garantiza el máximo rendimiento térmico y un consumo reducido de combustible. ","Capacidad de mezcla 75 a 150 t/h
Superficies del filtro 777 m²
Mezcladora Tambor mezclador externo de dos ejes con brazos y tubos",,,,FALTA FOTO APLICACION,Foto de carretera en buen estado
,,PLANTAS DE ASFALTO MÓVILES,iNOVA 2000 C,SI,SI,SI,SI,,iNOVA 2000 C,"La iNOVA 2000 C  es una planta de asfalto continua con capacidad de producción de 200 t/h, operable con dos vehículos de transporte. Incorpora tecnología avanzada, incluyendo cuatro silos de dosificación con pesaje individual, un quemador Open Fire y un sistema de intercambio de calor inteligente para máximo rendimiento térmico y bajo consumo de combustible.","2 Vehículos de transporte
Capacidad de mezcla 100 a 200 t/h
Mezcladora Tambor mezclador externo de dos ejes con brazos y tubos",,,,FALTA FOTO APLICACION Y CON TRANSPARENCIA,Foto de carretera en buen estado
,,PLANTAS DE ASFALTO MÓVILES,iNOVA 1200,SI ,SI ,SI ,SI ,,iNOVA 1200,"El sistema incluye cuatro silos de dosificación con pesaje individual y registro digital para una dosificación precisa. El secador elimina la humedad de los aditivos y calienta el material a la temperatura óptima. La mezcla se realiza externamente en un tambor mezclador, asegurando la máxima homogeneidad del producto final. Opcionalmente, se puede añadir asfalto reciclado en el tambor de secado.","
Capacidad de mezcla 80 a 120 t/h
Superficies del filtro 720 m²
Cantidad de silos 4
",,,,FALTA FOTO APLICACION,Foto de carretera en buen estado
BENNIGHOVEN,,PLANTA DE ASFALTO ESTACIONARIA,BENNINGHOVEN ECO,,,,,,BENNINGHOVEN ECO,"La ventaja decisiva de las instalaciones de mezcla de asfalto ECO es el diseño modular. Gracias al principio «plug & work», los componentes de alta tecnología pueden reequiparse rápida y fácilmente. Esta instalación, que se diferencia por características como la movilidad insuperable y la flexibilidad óptima, puede operarse como fija.","Capacidad nominal de mezcaldo 100 - 320 t/h
Ensilaje en caliente 17 -  87 t
Reciclaje hasta un 70 % de material reciclado",,,,✓,
,,PLANTA DE ASFALTO ESTACIONARIA,BENNINGHOVEN TBA,,,,,,BENNINGHOVEN TBA,"Las instalaciones de mezcla de asfalto TBA se presentan como especialistas impresionantes. En este caso, el diseño modular, las grandes capacidades de almacenamiento del ensilaje en caliente y del silo de carga de material mixto, así como el continuo reequipamiento de los componentes, permiten un rendimiento potente de la instalación.","Capacidad nominal de mezcaldo 160 - 320 t/h
Ensilaje en caliente 60 -  150 t
Silo de carga de material mixto 0 - 517 t",,,,✓,
,,PLANTA DE ASFALTO ESTACIONARIA,BENNINGHOVEN RPP,SI,SI,SI,SI,,BENNINGHOVEN RPP,"Las instalaciones de mezcla de asfalto fijas del tipo RPP son garantía de futuro; pues impresionan por el equipamiento ilimitado y son el producto estrella de BENNINGHOVEN gracias a un rendimiento en la producción de hasta 400 t/h. Cabe destacar la alta tasa de adición del material de reciclaje de la RPP que llega a ser de hasta 100 %. La RPP BENNINGHOVEN es una contribución efectiva para la eficiencia energética, rentabilidad y protección ambiental activa.","Capacidad nominal de mezcaldo 320 - 400 t/h
Ensilaje en caliente 80 - 320 t
Reciclaje hasta un 100 % de material reciclado
",,,,✓,
,,,,,,,,,,,,,,,,
,MINERÍA Y AGREGADOS,MARTILLOS,Fx15a,,,,,,Fx15a,"El FX15 es el martillo hidráulico más pequeño de la serie FX, pero no subestimes su potencia. La serie FX se distingue por su diseño mono-bloque. Con solo dos piezas móviles, se simplifica la operación del martillo y se reduce la posibilidad de tiempos de inactividad. El amplio rango de flujo de aceite es solo un ejemplo del diseño superior de este martillo, permitiendo velocidades de impacto más rápidas y la posibilidad de utilizarlo en una mayor variedad de maquinaria.","Peso en libras (kg) 130 (59)
Longitud en pulgadas (mm) 36,63 (930)
Diámetro en pulgadas (mm) 1,42 (36)
Golpes por minuto (variable) 600-1500",,,,✓,
,,MARTILLOS,Fx25a,,,,,,Fx25a,"El FX25 es compatible con una amplia gama de portadores. El uso de materiales de alta calidad y un proceso de producción de primer nivel da como resultado un cuerpo de martillo más ligero y con un rendimiento superior. Este martillo incorpora todas las características de la serie FX: diseño mono-bloque, circuito hidráulico avanzado y un amplio rango de flujo de aceite.","Peso en libras (kg) 181.5 (82,33)
Longitud en pulgadas (mm) 43,5 (1106)
Diámetro en pulgadas (mm) 1,77 (45)
Golpes por minuto (variable) 600-1500",,,,✓,
,,MARTILLOS,Fx35a,,,,,,Fx35a,"Las opciones de montaje del FX35 son infinitas. Ya sea para trabajos en asfalto o demolición de roca, el FX35 hará el trabajo con eficiencia. Gracias a su diseño mono-bloque, este martillo siempre se mantiene en condiciones óptimas de funcionamiento.","Peso en libras (kg) 320 (150)
Longitud en pulgadas (mm) 53,33 (1354,5)
Diámetro en pulgadas (mm) 2,05 (52)
Golpes por minuto (variable) 600-1300",,,,✓,
,,MARTILLOS,Fx45a,,,,,,Fx45a,"Detrás de la apariencia simple de la serie FX se esconden años de experiencia. El avanzado circuito hidráulico es solo uno de los muchos ejemplos del diseño superior de estos martillos. Esto se traduce en ciclos de trabajo más rápidos, mayor penetración de la herramienta y una productividad por hora superior a la de los modelos anteriores. En su categoría, el FX45 es un producto duradero y confiable, siempre listo para el trabajo.","Peso en libras (kg) 784 (356)
Longitud en pulgadas (mm) 57,5 (1461)
Diámetro en pulgadas (mm) 2,36 (60)
Golpes por minuto (variable) 600-1100",,,,✓,
,,MARTILLOS,Fx175,,,,,,Fx175,"Gracias a su cilindro mono-bloque y al uso de menos piezas, el Fx175 fue diseñado para reducir el mantenimiento y el tiempo de inactividad. Su sistema de engrase automático facilita el mantenimiento diario de forma rápida. Con el Fx175, hay menos preocupaciones por el mantenimiento.","Peso en libras (kg) 2095 (1402)
Longitud en pulgadas (mm) 100 (2540)
Diámetro en pulgadas (mm) 4,72 (120)
Golpes por minuto (variable) 450-600",,,,✓,
,,MARTILLOS,Fx225,,,,,,Fx225,"El Fx225 garantiza una compatibilidad óptima con excavadoras de 16 a 24 toneladas y está diseñado para trabajos de construcción en general, canteras, minería y demolición. Al igual que todos los martillos Fx, el Fx225 cuenta con una carcasa de protección que reduce el ruido y brinda una protección óptima.","Peso en libras (kg) 3734 (1694)
Longitud en pulgadas (mm) 113 (2870)
Diámetro en pulgadas (mm) 5,31 (135)
Golpes por minuto (variable) 350-550",,,,✓,
,,MARTILLOS,Fx275,,,,,,Fx275,"
Con su amplia compatibilidad con excavadoras, el Fx275 está preparado para los trabajos más exigentes. Este martillo incorpora todas las características de la serie Fx: diseño mono-bloque, sistema de control de polvo, perno de varilla de nuevo desarrollo, pistón rediseñado y una válvula optimizada para mayor resistencia. No hay tarea que el Fx275 no pueda manejar.","Peso en libras (kg) 3758 (1705)
Longitud en pulgadas (mm) 119 (3026)
Diámetro en pulgadas (mm) 5,51 (140)
Golpes por minuto (variable) 350-550",,,,✓,
,,MARTILLOS,Fx375,,,,,,Fx375,"El Fx375 es un martillo de alto impacto sin rival en su categoría. Gracias a las innovadoras características de la serie Fx, no es sorpresa que el Fx375 supere a la competencia. Su cilindro mono-bloque y el diámetro ampliado del pistón son solo algunas de las muchas características que lo convierten en el martillo ideal.","Peso en libras (kg) 5390 (2444)
Longitud en pulgadas (mm) 135 (3249)
Diámetro en pulgadas (mm) 6,10 (155)
Golpes por minuto (variable) 300-450",,,,✓,
,,MARTILLOS,Fx475,,,,,,Fx475,"el Fx475 está siempre listo para los trabajos más exigentes. Gracias a su exclusiva carcasa de una sola pieza y su sistema de amortiguación, el Fx475 combina potencia y bajo nivel de ruido, lo que lo hace ideal para entornos sensibles al sonido.","Peso en libras (kg) 5390 (2444)
Longitud en pulgadas (mm) 135 (3249)
Diámetro en pulgadas (mm) 6,10 (155)
Golpes por minuto (variable) 300-450",,,,✓,
,,PERFORADORAS,,,,,,,,,,,,,,
,,PERFORADORAS,,,,,,,,,,,,,,
,,PERFORADORAS,,,,,,,,,,,,,,
,,BULL DOZER ,850 J,SI ,SI ,SI ,SI ,SI ,850J,"Únicos en su especie, los bulldozers John Deere se caracterizan por ser agiles y potentes, con su transmisión hidrostática, sin convertidores de par ni cajas de engranes, lo convierten en el único bulldozer capaz de girar 360 grados en su propio eje con su contrarotación, su hidráulica directo a los motores de propulsión consigue entregar potencia directa a las orugas. Su alta tecnología en transmisión le permite aumentar o disminuir la velocidad según la carga en la hoja sin necesidad de hacerlo manualmente, aprovechando al máximo cada litro de combustible.","Potencia neta del motor: 153 kW (205 HP) a 1,800 r/min
Oruga sobre el Suelo: de 2,769 a 3,284 mm (de 109 a 129 in)
Peso operativo: de 18,219 a 20,146 kg(de 40,165 a 44,414 lb)
Rango del Ancho de la Hoja: de 3,251 a 4,267 mm (de 128 a 168in)",,,,✓,
,,BULL DOZER ,1050 P,SI ,SI ,SI ,SI ,SI ,1050P,"Únicos en su especie, los bulldozers John Deere se caracterizan por ser agiles y potentes, con su transmisión hidrostática, sin convertidores de par ni cajas de engranes, lo convierten en el único bulldozer capaz de girar 360 grados en su propio eje con su contrarotación, su hidráulica directo a los motores de propulsión consigue entregar potencia directa a las orugas. Su alta tecnología en transmisión le permite aumentar o disminuir la velocidad según la carga en la hoja sin necesidad de hacerlo manualmente, aprovechando al máximo cada litro de combustible.","Potencia Neta: 264 kW (354 hp) at 1700 r. p. m.
Peso de Funcionamiento: 42 640 a 42 900 kg (94 000 a 94 580 lb.)
Cadena Sobre el Suelo: 3419 mm (134.6 in.)",,,,✓,
,,ARTICULADOS,410P ,SI,SI,SI,SI,SI ,410P,"Por su gran desempeño en caminos irregulares, los camiones articulados de volteo fuera de carretera John Deere son la mejor opción, con sus diferentes modelos y capacidades, nos hacen una de las marcas con mayor variedad en el mercado. Su tracción 6x6, confiablidad, cabina ergonómica y alta tecnología en la transmisión, logran un aprovechamiento integro del equipo en trabajos con altas exigencias en el traslado de materiales en largas distancias dentro de un proyecto.","Potencia neta: 329 kW (441 hp) a 1700 r. p. m.
Carga útil permitida 37 266 kg (82 157 lb)
Capacidad c/carga colmada: 22,9 m3 30,0 yd³",,,,✓,
,,ARTICULADOS,460P,SI,SI,SI,SI,SI ,460P,"Por su gran desempeño en caminos irregulares, los camiones articulados de volteo fuera de carretera John Deere son la mejor opción, con sus diferentes modelos y capacidades, nos hacen una de las marcas con mayor variedad en el mercado. Su tracción 6x6, confiablidad, cabina ergonómica y alta tecnología en la transmisión, logran un aprovechamiento integro del equipo en trabajos con altas exigencias en el traslado de materiales en largas distancias dentro de un proyecto.","Potencia neta: 359 kW (481 hp) a 1700 r. p. m.
Carga útil permitida 41 820 kg (92 197 lb)
Capacidad c/carga colmada: 25,2 m3 (32,9 yd³)",,,,✓,
,,CARGADORES FRONTALES,724P,SI ,SI ,SI ,SI ,SI ,724P,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia Neta: 197 kW (264 hp) a 1800 r. p. m.
Peso de Funcionamiento: 19 123 kg (42 159 lb)
Capacidad de la Cuchara: 2,5–4,2 m³ (3,2–5,5 yd³)",,,,✓,
,,CARGADORES FRONTALES,744P,SI ,SI ,SI ,SI ,SI ,744P,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia Neta: 236 kW (316 hp) a 1500 rpm
Peso de Operativo: 24 907 a 26 630 kg (54 920 a 58 709 lb)
Capacidad del Cucharón: 3,8 a 4,5 m3 (5,0 a 5,85 yd3)",,,,✓,
